"Post code","Prefecture name","City name","Ward name","Town name"
6580000,Hyogo,Kobe,Higashinadaku,Ikanikeisaiganaibaai
6580083,Hyogo,Kobe,Higashinadaku,Uozakinakamachi
6580026,Hyogo,Kobe,Higashinadaku,Uozakinishimachi
6580025,Hyogo,Kobe,Higashinadaku,Uozakiminamimachi
6580082,Hyogo,Kobe,Higashinadaku,Uozakikitamachi
6580024,Hyogo,Kobe,Higashinadaku,Uozakihamamachi
6580066,Hyogo,Kobe,Higashinadaku,Uzumoridai
6580027,Hyogo,Kobe,Higashinadaku,Ogi
6580072,Hyogo,Kobe,Higashinadaku,Okamoto
6580064,Hyogo,Kobe,Higashinadaku,Kamokogahara
6580014,Hyogo,Kobe,Higashinadaku,Kitaogi
6580002,Hyogo,Kobe,Higashinadaku,Konandai
6580084,Hyogo,Kobe,Higashinadaku,Konancho
6580032,Hyogo,Kobe,Higashinadaku,Koyochonaka
6580031,Hyogo,Kobe,Higashinadaku,Koyochohigashi
6580033,Hyogo,Kobe,Higashinadaku,Koyochonishi
6580062,Hyogo,Kobe,Higashinadaku,Sumiyoshidai
6580042,Hyogo,Kobe,Higashinadaku,Sumiyoshihamamachi
6580051,Hyogo,Kobe,Higashinadaku,Sumiyoshihommachi
6580052,Hyogo,Kobe,Higashinadaku,Sumiyoshihigashimachi
6580041,Hyogo,Kobe,Higashinadaku,Sumiyoshiminamimachi
6580053,Hyogo,Kobe,Higashinadaku,Sumiyoshimiyamachi
6580063,Hyogo,Kobe,Higashinadaku,Sumiyoshiyamate
6580081,Hyogo,Kobe,Higashinadaku,Tanakacho
6580073,Hyogo,Kobe,Higashinadaku,Nishiokamoto
6580023,Hyogo,Kobe,Higashinadaku,Fukaehamamachi
6580021,Hyogo,Kobe,Higashinadaku,Fukaehommachi
6580022,Hyogo,Kobe,Higashinadaku,Fukaeminamimachi
6580013,Hyogo,Kobe,Higashinadaku,Fukaekitamachi
6580012,Hyogo,Kobe,Higashinadaku,Honjocho
6580047,Hyogo,Kobe,Higashinadaku,Mikage
6580045,Hyogo,Kobe,Higashinadaku,Mikageishimachi
6580048,Hyogo,Kobe,Higashinadaku,Mikagegunge
6580044,Hyogo,Kobe,Higashinadaku,Mikagetsukamachi
6580054,Hyogo,Kobe,Higashinadaku,Mikagenakamachi
6580043,Hyogo,Kobe,Higashinadaku,Mikagehamamachi
6580046,Hyogo,Kobe,Higashinadaku,Mikagehommachi
6580065,Hyogo,Kobe,Higashinadaku,Mikageyamate
6580003,Hyogo,Kobe,Higashinadaku,Motoyamakitamachi
6580071,Hyogo,Kobe,Higashinadaku,Motoyamacho Okamoto
6580005,Hyogo,Kobe,Higashinadaku,Motoyamacho Kitahata
6580061,Hyogo,Kobe,Higashinadaku,Motoyamacho Tanaka
6580004,Hyogo,Kobe,Higashinadaku,Motoyamacho Tanabe
6570111,Hyogo,Kobe,Higashinadaku,Motoyamachomori(748-1-Banchi)
